STOPID,PREVSTOPID,TIMESTAMP,T_HOUR,TIMETAKEN
14920,2632,1449890695171,8,60000
14531,14527,1449890640175,8,115000
33320,BP5972,1449890625177,8,130000
BP3504,7823,1449890525178,8,229999
10922,10920,1449890675185,8,80001
129,305,1449890705189,8,50001
2046,BP5408,1449890510148,8,245044
21,751,1449890700192,8,55001
21,1287,1449890720171,8,40000
33322,BP3912,1449890610178,8,150000
37219,BP3460,1449890545179,8,215000
BP2778,BP1795,1449890515183,8,245001
BP1379,37219,1449890640189,8,120001
11481,BP4272,1449890520192,8,240001
33291,33260,1449890680191,8,80002
913,2640,1449890665172,8,100000
9990,1042,1449890740177,8,25000
751,1285,1449890675180,8,90000
20669,3218,1449890680187,8,85001
8419,33107,1449890700169,8,70000
33322,33320,1449890695170,8,75000
21,1287,1449890725185,8,45000
10889,10885,1449890730190,8,39999
805,9989,1449890740194,8,30000
20760,371,1449890725180,8,50000
1041,9991,1449890735195,8,40002
4897,20760,1449890775180,8,5000
29245,1011,1449890725187,8,55000
1289,21,1449890755193,8,25000
129,305,1449890700177,8,85000
1289,21,1449890770185,8,15000
4946,10879,1449890740194,8,45000
308,BP4921,1449890710169,8,80000
1289,21,1449890760171,8,30000
143,BP3536,1449890580186,8,210000
2637,2633,1449890745173,8,50000
4643,14528,1449890750176,8,45000
804,9986,1449890735181,8,60000
20760,371,1449890735182,8,60000
14245,4760,1449890710194,8,85001
944,BP5408,1449890510111,8,290058
2018,20628,1449890655172,8,145000
1287,751,1449890765180,8,35000
10926,10922,1449890755186,8,44999
1057,1473,1449890715173,8,90000
BP5172,BP5486,1449890605179,8,199999
9986,375,1449890735193,8,69998
8558,10352,1449890685194,8,120000
9988,804,1449890795181,8,14989
4750,20669,1449890765188,8,44989
10875,4946,1449890785194,8,24988
905,913,1449890765172,8,50000
3219,14245,1449890795195,8,19999
80011,330,1449890750178,8,69989
1739,4876,1449890720185,8,99988
375,BP1795,1449890730189,8,89989
13506,2639,1449890725190,8,94988
R0085,BP5172,1449890805178,8,19990
7823,BP3504,1449890515182,8,309989
9986,375,1449890730185,8,94988
297,36602,1449890730196,8,94989
21,1287,1449890800180,8,29990
R0474,4750,1449890810177,8,20000
10893,10889,1449890770189,8,59989
2636,905,1449890815172,8,19990
4645,14531,1449890755175,8,79990
312,1289,1449890740181,8,94989
BP3203,29245,1449890780187,8,54989
29775,805,1449890770194,8,64989
2068,902,1449890695194,8,139990
2018,8419,1449890770169,8,69990
2067,4897,1449890780180,8,59989
1157,2018,1449890840159,8,5000
1278,1276,1449890710171,8,134990
1283,80011,1449890820167,8,25000
2637,26591,1449890725182,8,119989
29684,7851,1449890750189,8,94988
804,9986,1449890805191,8,39990
1277,33291,1449890760193,8,84989
33924,976,1449890635172,8,214989
804,9986,1449890825173,8,25000
R0330,2050,1449890740185,8,109989
34246,BP976,1449890670185,8,179990
37317,15783,1449890510144,8,340033
312,1289,1449890780193,8,69988
