VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,1/1/2016 1:34,1/1/2016 1:47,2,4.7,-73.98300171,40.74786758,1,N,-74.00431824,40.70732117,2,15.5,0.5,0.5,0,0,0.3,16.8
2,1/1/2016 1:38,1/1/2016 1:49,1,1.56,-73.97518921,40.75175095,1,N,-73.99736023,40.7539711,1,8.5,0.5,0.5,1.2,0,0.3,11
2,1/1/2016 1:41,1/1/2016 1:46,1,0.96,-73.94255066,40.72132111,1,N,-73.94736481,40.70911407,2,5.5,0.5,0.5,0,0,0.3,6.8
1,1/1/2016 1:42,1/1/2016 1:58,1,2.8,-73.96215057,40.75933456,1,N,-73.9919281,40.74877548,2,12.5,0.5,0.5,0,0,0.3,13.8
2,1/1/2016 1:47,1/1/2016 2:00,2,3.18,-73.98074341,40.74769974,1,N,-73.94967651,40.78195572,1,12.5,0.5,0.5,2.76,0,0.3,16.56
1,1/1/2016 1:49,1/1/2016 1:56,1,1.7,-73.95653534,40.7714119,1,N,-73.97021484,40.78408051,1,8,0.5,0.5,1.85,0,0.3,11.15
2,1/1/2016 1:50,1/1/2016 2:01,1,2.94,-73.96691895,40.6745491,1,N,-73.96602631,40.64056015,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,1/1/2016 1:56,1/1/2016 2:09,4,1.9,-73.98187256,40.77944183,1,N,-73.97865295,40.7620697,2,10.5,0.5,0.5,0,0,0.3,11.8
2,1/1/2016 1:57,1/1/2016 2:03,1,1,-73.97814941,40.78314209,1,N,-73.98841858,40.77475357,1,6,0.5,0.5,1.46,0,0.3,8.76
2,1/1/2016 1:57,1/1/2016 1:59,2,0.46,-73.94586182,40.77769089,1,N,-73.95182037,40.77703094,1,3.5,0.5,0.5,0.72,0,0.3,5.52
1,1/1/2016 1:58,1/1/2016 2:06,2,1.9,-73.97238922,40.7652092,1,N,-73.98028564,40.7431488,1,8,0.5,0.5,1.85,0,0.3,11.15
2,1/1/2016 1:58,1/1/2016 2:19,5,4.28,-73.99874115,40.72980881,1,N,-73.95620728,40.7713089,1,17.5,0.5,0.5,4.7,0,0.3,23.5
